bin      ZJetsToNuNu   WJetsToLNu   QCD   TTZToQQ   TTJets   mLSP150   mLSP1000   mLSP1550
1   3355.42   2383.85   3410.91   1.64307   605.318   0   0   0
2   857.388   616.02   1163.03   0.241185   114.974   0   0.0337392   0
3   235.708   173.544   669.849   0.165815   20.5857   0   0   0.00902694
4   408.506   119.276   922.557   0.0301482   9.07399   0   0   0.0361078
5   44.6381   14.3599   8.53713   0   0.849117   0   0   0.0180539
6   78.2375   16.6537   24.632   0   0.246374   0   0.0674784   0.126377
7   103.406   94.4652   76.097   0.467296   124.55   0   0   0
8   77.8962   77.061   140.847   0.180889   66.9595   0   0   0
9   34.1124   33.9149   152.215   0.150741   14.8605   0   0.101218   0.0180539
10   11.9237   4.12614   16.0851   0.0301482   1.24393   0   0   0
11   5.77433   2.70121   1.37677   -0.0150741   0.706493   0   0.0337392   0.0270808
12   3.81608   1.19914   0   0   0.115814   0   0.0337392   0.0270808
13   3.24734   3.14269   8.85882   0.0753704   8.8853   0   0   0
14   6.1627   6.68608   16.4587   0.0753704   14.313   0   0   0
15   4.56925   5.05737   53.0555   0   8.30879   0.00868623   0.0337392   0
16   0.351481   0.361987   0   0   0.0921197   0   0   0
17   0.803385   0.291676   0   -0.0150741   0.285077   0   0   0
18   0.502116   0.255766   0   0   0.0450512   0   0.0337392   0
19   605.472   418.364   1074.8   3.55748   1457.17   0   0   0.00902694
20   178.412   130.445   263.125   0.768778   246.469   0   0   0.0361078
21   48.2031   41.9628   252.063   0.226111   43.3066   0.00868623   0.101218   0.126377
22   65.3189   19.9905   0   0.0753704   24.4273   0   0   0.0631886
23   9.5402   3.54282   18.8544   -0.0452222   3.41501   0   0.0674784   0.108323
24   15.0029   3.28113   0.311201   0   0.488329   0   0.0337392   0.613832
25   27.9864   26.2306   45.0911   1.59785   312.087   0   0   0
26   22.1088   20.7768   42.2058   0.452222   148.025   0   0   0.00902694
27   10.1427   10.1874   84.6932   0.135667   42.32   0.0173725   0.0674784   0.0270808
28   2.9413   0.977748   0   0.0904445   3.45268   0   0   0
29   1.70719   1.1004   0.886345   0.0150741   1.73767   0   0.269914   0.0451347
30   1.20508   0.175788   0.263944   -0.0150741   0.311994   0   0.168696   0.20762
31   0.79006   0.663604   4.42941   -0.0452222   21.4764   0   0   0
32   2.86991   1.89646   16.0851   0.150741   43.5814   0   0   0
33   1.85783   1.90491   18.829   0.105519   20.7235   0.0781761   0.101218   0
34   0.351481   0.162958   0   -0.0150741   1.68938   0   0   0
35   0.502116   0.153644   0.131972   -0.0301482   0.881513   0.00868623   0.134957   0.00902694
36   0.200846   0.0876666   0.311201   0.0150741   0.077341   0.00868623   0.202435   0.0451347
37   106.362   55.7654   1244.6   2.3817   946.625   0   0   0.00902694
38   29.6539   18.5576   57.7767   0.391926   153.878   0   0   0.0992964
39   7.68237   5.95001   75.1944   0.105519   30.0109   0.0347449   0.0337392   0.135404
40   12.5074   2.46289   0.311201   0.105519   15.3963   0   0   0.11735
41   1.10465   0.224234   0.263944   0.0150741   2.52546   0   0.101218   0.153458
42   2.1591   0.497076   0   -0.0150741   0.957823   0   0.0674784   0.965883
43   7.68449   4.2105   177.19   1.11548   219.901   0   0   0.00902694
44   5.81122   4.42844   26.4257   0.542667   125.465   0   0   0.0180539
45   3.06291   2.42875   28.299   0.120593   33.0571   0.121607   0.303653   0.0722156
46   0.451904   0.313467   0   0.0301482   1.51835   0   0   0.0270808
47   0.451904   0.0705903   0.131972   0.0150741   1.32054   0   0.236174   0.0541617
48   0.251058   0.106735   0.131972   0   0.208642   0   0.236174   0.261781
49   0.179667   0.216428   0   -0.0301482   16.9872   0   0   0
50   0.702962   0.910555   2.42954   0.195963   32.8207   0   0   0.00902694
51   0.552327   0.646561   4.69567   0.0753704   21.1657   0.0868623   0.236174   0.00902694
52   0.100423   0.0360713   0   0   0.169578   0   0   0
53   0.0502116   0.045371   0   0.0301482   0.677487   0.00868623   0.202435   0.0180539
54   0.0502116   0   0   0.0150741   0.127239   0   0.303653   0.0722156
55   8.79161   4.65346   45.5831   0.73863   135.625   0   0   0.0180539
56   2.611   1.77707   15.8221   0.120593   24.707   0   0   0.0180539
57   0.652751   0.773273   6.24187   0.0904445   3.23026   0   0   0.0722156
58   1.54323   0.616359   0   0.0150741   0.921651   0   0   0.11735
59   0.251058   0.0629017   0   0   0.171627   0   0   0.0361078
60   0.30127   0.0422956   0   0   0.0333706   0   0.101218   0.306916
61   1.96602   0.663604   0   0.512519   48.015   0   0   0
62   0.932841   0.488874   5.48149   0.48237   19.9125   0   0.0337392   0.00902694
63   0.351481   0.373265   4.28995   0.135667   10.4757   0.0781761   0.0674784   0.0451347
64   0.100423   0.0422956   0   0   0.910118   0   0   0.0451347
65   0.0502116   0.0629017   0   0.0150741   1.77147   0   0.168696   0.0270808
66   0   0.0422956   0   0.0150741   0.0675208   0   0.101218   0.20762
67   0.0502116   0   0   0.120593   2.25508   0   0   0
68   0.380514   0.0422956   0   0.241185   10.5104   0   0   0
69   0   0.0438333   2.03663   0.0150741   7.67395   0.156352   0.337392   0.0180539
70   0   0   0   0   0.0397745   0   0   0.00902694
71   0.0502116   0.00153773   0.131972   -0.0150741   0.274034   0.00868623   0.202435   0.0270808
72   0   0   0   0   0.0209405   0   0.303653   0.0361078
